epoch,train_loss,train_bpd,val_loss,val_bpd,val_bpd_std,lr
1,12.6478,11.3701,,,,1.00e-04
2,8.2502,5.5098,7.8356,4.8894,0.0653,2.00e-04
3,7.7832,4.8944,,,,3.00e-04
4,7.4894,4.5254,7.3554,4.2815,0.0702,3.00e-04
5,7.3013,4.2929,,,,3.00e-04
6,7.1740,4.1326,7.0846,3.9358,0.0736,3.00e-04
7,7.0507,3.9823,,,,2.99e-04
8,6.9656,3.8774,6.9021,3.6995,0.0782,2.99e-04
9,6.8993,3.7908,,,,2.98e-04
10,6.8270,3.7020,6.8199,3.5985,0.0812,2.97e-04
11,6.7418,3.5877,,,,2.96e-04
12,6.6061,3.4082,6.7799,3.5609,0.0830,2.95e-04
13,6.4640,3.2143,,,,2.94e-04
14,6.4196,3.1602,6.6783,3.4297,0.0855,2.92e-04
15,6.3930,3.1260,,,,2.91e-04
16,6.3559,3.0853,6.6367,3.3775,0.0861,2.89e-04
17,6.3343,3.0566,,,,2.87e-04
18,6.3191,3.0359,6.5950,3.3250,0.0890,2.85e-04
19,6.3052,3.0206,,,,2.83e-04
20,6.2903,3.0000,6.5697,3.2927,0.0888,2.80e-04
21,6.2690,2.9781,,,,2.78e-04
22,6.2535,2.9634,6.5218,3.2305,0.0896,2.75e-04
23,6.2390,2.9440,,,,2.72e-04
24,6.2268,2.9282,6.5084,3.2115,0.0910,2.70e-04
25,6.2120,2.9085,,,,2.67e-04
26,6.2039,2.8988,6.4951,3.1950,0.0905,2.64e-04
27,6.1910,2.8822,,,,2.60e-04
28,6.1847,2.8767,6.4698,3.1584,0.0905,2.57e-04
29,6.1810,2.8710,,,,2.53e-04
30,6.1679,2.8562,6.4576,3.1506,0.0913,2.50e-04
31,6.1562,2.8439,,,,2.46e-04
32,6.1524,2.8355,6.4277,3.1095,0.0914,2.42e-04
33,6.1436,2.8286,,,,2.39e-04
34,6.1436,2.8232,6.4227,3.1040,0.0911,2.35e-04
35,6.1331,2.8136,,,,2.31e-04
36,6.1275,2.8056,6.4112,3.0878,0.0911,2.26e-04
37,6.1212,2.7995,,,,2.22e-04
38,6.1117,2.7901,6.3952,3.0658,0.0907,2.18e-04
39,6.1113,2.7883,,,,2.14e-04
40,6.1014,2.7772,6.3830,3.0500,0.0915,2.09e-04
41,6.0968,2.7719,,,,2.05e-04
42,6.0927,2.7682,6.3846,3.0541,0.0910,2.00e-04
43,6.0884,2.7611,,,,1.95e-04
