epoch,train_loss,train_bpd,val_loss,val_bpd,val_bpd_std,lr
1,,12.074,,,,6.00e-05
2,,6.1031,8.1367,5.3242,0.0558,1.20e-04
3,,5.329,,,,1.80e-04
4,,4.8894,7.5672,4.5588,0.0630,2.40e-04
5,,4.5833,,,,3.00e-04
6,,4.3562,7.2529,4.1422,0.0690,3.00e-04
7,,4.1741,,,,3.00e-04
8,,4.0506,7.0403,3.8718,0.0742,3.00e-04
9,,3.9433,,,,3.00e-04
10,,3.853,6.9079,3.7096,0.0791,3.00e-04
11,,3.7621,,,,3.00e-04
12,,3.6735,6.8208,3.6049,0.0813,2.99e-04
13,,3.5018,,,,2.99e-04
14,,3.3637,6.7521,3.5195,0.0828,2.99e-04
15,,3.2667,,,,2.99e-04
16,,3.2086,6.6981,3.4587,0.0852,2.98e-04
17,,3.1694,,,,2.98e-04
18,,3.1365,6.6603,3.4086,0.0846,2.97e-04
19,,3.0928,,,,2.97e-04
20,,3.0457,6.6077,3.3415,0.0877,2.96e-04
21,,3.0217,,,,2.96e-04
22,,2.9937,6.5671,3.2930,0.0905,2.95e-04
23,,2.9744,,,,2.95e-04
24,,2.9615,6.5564,3.2715,0.0905,2.94e-04
25,,2.9411,,,,2.93e-04
26,,2.9251,6.5327,3.2471,0.0899,2.93e-04
27,,2.9086,,,,2.92e-04
28,,2.8983,6.5036,3.2040,0.0900,2.91e-04
29,,2.8899,,,,2.90e-04
30,,2.8726,6.4711,3.1641,0.0916,2.89e-04
31,,2.8607,,,,2.89e-04
32,,2.8523,6.4648,3.1608,0.0907,2.88e-04
33,,2.8439,,,,2.87e-04
34,,2.8335,6.4877,3.1915,0.0893,2.86e-04
35,,2.8267,,,,2.85e-04
36,,2.8143,6.4509,3.1318,0.0891,2.84e-04
37,,2.8076,,,,2.83e-04
38,,2.7986,6.4483,3.1361,0.0912,2.81e-04
39,,2.7923,,,,2.80e-04
40,,2.7839,6.4208,3.0917,0.0906,2.79e-04
41,,2.777,,,,2.78e-04
42,,2.7719,6.4273,3.1131,0.0902,2.77e-04
43,,2.7639,,,,2.75e-04
44,,2.7612,6.3993,3.0703,0.0902,2.74e-04
45,,2.747,,,,2.73e-04
46,,2.7493,6.3758,3.0398,0.0914,2.71e-04
47,,2.7447,,,,2.70e-04
48,,2.7371,6.3739,3.0404,0.0914,2.69e-04
49,,2.7366,,,,2.67e-04
50,,2.7237,6.3764,3.0458,0.0908,2.66e-04
51,,2.7249,,,,2.64e-04
52,,2.7189,6.3580,3.0196,0.0912,2.63e-04
53,,2.7121,,,,2.61e-04
54,,2.7164,6.3607,3.0261,0.0908,2.59e-04
55,,2.7077,,,,2.58e-04
56,,2.7027,6.3483,3.0064,0.0914,2.56e-04
57,,2.6954,,,,2.55e-04
58,,2.6922,6.3435,3.0026,0.0914,2.53e-04
59,,2.6876,,,,2.51e-04
60,,2.6826,6.3544,3.0168,0.0895,2.49e-04
61,,2.6869,,,,2.48e-04
62,,2.6817,6.3254,2.9790,0.0910,2.46e-04
63,,2.6772,,,,2.44e-04
64,,2.673,6.3335,2.9930,0.0910,2.42e-04
65,,2.6713,,,,2.40e-04
66,,2.6626,6.3246,2.9786,0.0915,2.38e-04
67,,2.6698,,,,2.37e-04
68,,2.6589,6.3137,2.9658,0.0912,2.35e-04
69,,2.6601,,,,2.33e-04
70,,2.6571,6.3028,2.9526,0.0912,2.31e-04
71,,2.657,,,,2.29e-04
72,,2.6491,6.3120,2.9647,0.0910,2.27e-04
73,,2.6458,,,,2.25e-04
74,,2.6477,6.3106,2.9629,0.0911,2.23e-04
75,,2.6393,,,,2.21e-04
76,,2.6359,6.3058,2.9609,0.0911,2.19e-04
77,,2.6457,,,,2.17e-04
78,,2.6328,6.2991,2.9491,0.0908,2.14e-04
79,,2.6363,,,,2.12e-04
80,,2.631,6.2908,2.9355,0.0913,2.10e-04
81,,2.6249,,,,2.08e-04
82,,2.627,6.2880,2.9354,0.0909,2.06e-04
83,,2.6246,,,,2.04e-04
84,,2.6222,6.2834,2.9252,0.0909,2.02e-04
85,,2.623,,,,1.99e-04
86,,2.6206,6.2824,2.9289,0.0911,1.97e-04
87,,2.6172,,,,1.95e-04
88,,2.613,6.2791,2.9202,0.0909,1.93e-04
89,,2.6141,,,,1.90e-04
90,,2.6104,6.2712,2.9124,0.0912,1.88e-04
91,,2.6089,,,,1.86e-04
92,,2.6009,6.2694,2.9088,0.0913,1.84e-04
93,,2.6005,,,,1.81e-04
94,,2.6011,6.2710,2.9149,0.0913,1.79e-04
95,,2.603,,,,1.77e-04
96,,2.6038,6.2695,2.9065,0.0910,1.75e-04
97,,2.5941,,,,1.72e-04
98,,2.5932,6.2658,2.9069,0.0913,1.70e-04
99,,2.5955,,,,1.68e-04
100,,2.5927,6.2533,2.8929,0.0911,1.66e-04
101,,2.592,,,,1.63e-04
102,,2.5822,6.2580,2.8964,0.0910,1.61e-04
103,,2.5832,,,,1.59e-04
104,,2.5823,6.2543,2.8922,0.0910,1.56e-04
105,,2.584,,,,1.54e-04
106,,2.5847,6.2600,2.8991,0.0910,1.52e-04
107,,2.5782,,,,1.49e-04
108,,2.5775,6.2592,2.8995,0.0911,1.47e-04
109,,2.5755,,,,1.45e-04
110,,2.5749,6.2488,2.8859,0.0911,1.43e-04
111,,2.5713,,,,1.40e-04
112,,2.5735,6.2471,2.8804,0.0910,1.38e-04
113,,2.5695,,,,1.36e-04
114,,2.5689,6.2482,2.8858,0.0909,1.34e-04
115,,2.5658,,,,1.31e-04
116,,2.5723,6.2421,2.8802,0.0911,1.29e-04
117,,2.5667,,,,1.27e-04
118,,2.5609,6.2440,2.8794,0.0910,1.25e-04
119,,2.5634,,,,1.22e-04
120,,2.5597,6.2448,2.8820,0.0909,1.20e-04
121,,2.5623,,,,1.18e-04
122,,2.5563,6.2390,2.8729,0.0909,1.16e-04
123,,2.5568,,,,1.13e-04
124,,2.5569,6.2479,2.8838,0.0909,1.11e-04
125,,2.557,,,,1.09e-04
126,,2.5575,6.2333,2.8682,0.0910,1.07e-04
127,,2.5526,,,,1.05e-04
128,,2.5533,6.2333,2.8674,0.0909,1.03e-04
129,,2.5484,,,,1.01e-04
130,,2.5486,6.2308,2.8643,0.0909,9.85e-05
131,,2.5447,,,,9.64e-05
132,,2.5456,6.2320,2.8637,0.0909,9.43e-05
133,,2.544,,,,9.23e-05
134,,2.5461,6.2307,2.8635,0.0911,9.03e-05
137,,2.5412,,,,8.43e-05
138,,2.5399,6.2266,2.8588,0.0908,8.23e-05
139,,2.5386,,,,8.04e-05
140,,2.5374,6.2260,2.8585,0.0910,7.85e-05
141,,2.5381,,,,7.66e-05
142,,2.5333,6.2252,2.8577,0.0909,7.47e-05
143,,2.534,,,,7.28e-05
144,,2.5363,6.2206,2.8521,0.0908,7.10e-05
145,,2.5277,,,,6.92e-05
146,,2.5288,6.2189,2.8489,0.0908,6.74e-05
147,,2.5329,,,,6.56e-05
148,,2.5309,6.2207,2.8526,0.0909,6.39e-05
149,,2.5292,,,,6.21e-05
150,,2.5281,6.2164,2.8458,0.0909,6.05e-05
151,,2.5232,,,,5.88e-05
152,,2.5241,6.2185,2.8477,0.0909,5.71e-05
153,,2.5261,,,,5.55e-05
154,,2.524,6.2157,2.8474,0.0909,5.39e-05
155,,2.5241,,,,5.24e-05
156,,2.5208,6.2164,2.8463,0.0910,5.08e-05
157,,2.5208,,,,4.93e-05
158,,2.5209,6.2129,2.8429,0.0909,4.78e-05
159,,2.518,,,,4.64e-05
160,,2.5216,6.2145,2.8441,0.0910,4.50e-05
161,,2.5161,,,,4.36e-05
162,,2.5198,6.2113,2.8412,0.0910,4.22e-05
163,,2.5179,,,,4.09e-05
