# schema,mdlic-linear-probe-v3
# config,configs/ccigpt_cifar10_s_rgb_ronly_v2.yaml
# config_sha256,5d2cf6e0448020cda88390b85713cef50487be456d4f796a63b0c87c172a6d23
# checkpoint,experiments/ccigpt_cifar10_s_rgb_ronly_v2/checkpoints/best.pth
# checkpoint_sha256,fa92bda989cef47b67c3b17ef76d99a8809859e1f0642dd93cda993424252f57
# git_commit,74f945b1473796746d88745552136037ab7c3b92
# git_dirty,True
# model_type,ccigpt
# probe_dataset,cifar10
# train_dataset_fingerprint,da5564b80e6cbae414eefd989582bef57a3ddd4856847769778d6b18931792f3
# test_dataset_fingerprint,257d0d0364ab3999af1771e7f4f1ba6f7d204e47ee706f89dd75e6c232ab63ae
# preprocessing_json,{"augmentation":null,"schema":"mdlic-linear-probe-input-v1","steps":[{"conversion":"uint8 HWC to float32 CHW in [0,1]","op":"ToTensor"}]}
# num_classes,10
# N_layers,32
# d_model,448
# model_image_size,32
# coarse_ctx,without (ablation)
# epochs,100
# lr,0.1
# batch_size,256
# selection_split,stratified validation subset of training data
# val_fraction,0.1
# split_seed,0
# selection_train_indices_sha256,7b0f454cd3ba39ec8bfa25d8620d5b54cd08986e9095b7ae01239f3e570797e8
# selection_validation_indices_sha256,a3bb8ba45ead7400ee3b9b850632810e991a22762e5d8c35928f7fea8b61f17d
# classifier_seeds,0,1,2,3,4
# selected_layer,15
# classifier_seed_variation,descriptive sample std; not a CI
# final_test_classifier_seed_mean,70.0100
# final_test_classifier_seed_std,0.0539
# sample_bootstrap_estimand,accuracy averaged over the fixed classifier seeds
# sample_bootstrap_samples,2000
# sample_bootstrap_seed,0
# final_test_sample_bootstrap_ci95_low,69.13149999999999
# final_test_sample_bootstrap_ci95_high,70.88655
stage,layer,classifier_seed,accuracy,classifier_seed_mean,classifier_seed_std,classifier_seed_min,classifier_seed_max,sample_bootstrap_ci95_low,sample_bootstrap_ci95_high
validation,0,0,39.7800,,,,,,
validation,0,1,40.0800,,,,,,
validation,0,2,39.7800,,,,,,
validation,0,3,39.7600,,,,,,
validation,0,4,39.9200,,,,,,
validation_summary,0,,,39.8640,0.1367,39.7600,40.0800,,
validation,1,0,49.5400,,,,,,
validation,1,1,49.5000,,,,,,
validation,1,2,49.5400,,,,,,
validation,1,3,49.4800,,,,,,
validation,1,4,49.4400,,,,,,
validation_summary,1,,,49.5000,0.0424,49.4400,49.5400,,
validation,2,0,52.7000,,,,,,
validation,2,1,52.6800,,,,,,
validation,2,2,52.7200,,,,,,
validation,2,3,52.7200,,,,,,
validation,2,4,52.7600,,,,,,
validation_summary,2,,,52.7160,0.0297,52.6800,52.7600,,
validation,3,0,55.0000,,,,,,
validation,3,1,54.9400,,,,,,
validation,3,2,54.9200,,,,,,
validation,3,3,54.8000,,,,,,
validation,3,4,54.8800,,,,,,
validation_summary,3,,,54.9080,0.0743,54.8000,55.0000,,
validation,4,0,56.1800,,,,,,
validation,4,1,56.0800,,,,,,
validation,4,2,56.0400,,,,,,
validation,4,3,55.9600,,,,,,
validation,4,4,55.9400,,,,,,
validation_summary,4,,,56.0400,0.0970,55.9400,56.1800,,
validation,5,0,57.5800,,,,,,
validation,5,1,57.5800,,,,,,
validation,5,2,57.4800,,,,,,
validation,5,3,57.6600,,,,,,
validation,5,4,57.5600,,,,,,
validation_summary,5,,,57.5720,0.0642,57.4800,57.6600,,
validation,6,0,59.1400,,,,,,
validation,6,1,59.1400,,,,,,
validation,6,2,59.0000,,,,,,
validation,6,3,59.0800,,,,,,
validation,6,4,59.0800,,,,,,
validation_summary,6,,,59.0880,0.0576,59.0000,59.1400,,
validation,7,0,60.6400,,,,,,
validation,7,1,60.5800,,,,,,
validation,7,2,60.6000,,,,,,
validation,7,3,60.4800,,,,,,
validation,7,4,60.6000,,,,,,
