# schema,mdlic-linear-probe-v3
# config,configs/ccigpt_cifar10_s_rgb_ronly_v2.yaml
# config_sha256,5d2cf6e0448020cda88390b85713cef50487be456d4f796a63b0c87c172a6d23
# checkpoint,experiments/ccigpt_cifar10_s_rgb_ronly_v2/checkpoints/best.pth
# checkpoint_sha256,fa92bda989cef47b67c3b17ef76d99a8809859e1f0642dd93cda993424252f57
# git_commit,74f945b1473796746d88745552136037ab7c3b92
# git_dirty,True
# model_type,ccigpt
# probe_dataset,cifar10
# train_dataset_fingerprint,da5564b80e6cbae414eefd989582bef57a3ddd4856847769778d6b18931792f3
# test_dataset_fingerprint,257d0d0364ab3999af1771e7f4f1ba6f7d204e47ee706f89dd75e6c232ab63ae
# preprocessing_json,{"augmentation":null,"schema":"mdlic-linear-probe-input-v1","steps":[{"conversion":"uint8 HWC to float32 CHW in [0,1]","op":"ToTensor"}]}
# num_classes,10
# N_layers,32
# d_model,448
# model_image_size,32
# coarse_ctx,with
# epochs,100
# lr,0.1
# batch_size,256
# selection_split,stratified validation subset of training data
# val_fraction,0.1
# split_seed,0
# selection_train_indices_sha256,7b0f454cd3ba39ec8bfa25d8620d5b54cd08986e9095b7ae01239f3e570797e8
# selection_validation_indices_sha256,a3bb8ba45ead7400ee3b9b850632810e991a22762e5d8c35928f7fea8b61f17d
# classifier_seeds,0,1,2,3,4
# selected_layer,18
# classifier_seed_variation,descriptive sample std; not a CI
# final_test_classifier_seed_mean,78.5580
# final_test_classifier_seed_std,0.0268
# sample_bootstrap_estimand,accuracy averaged over the fixed classifier seeds
# sample_bootstrap_samples,2000
# sample_bootstrap_seed,0
# final_test_sample_bootstrap_ci95_low,77.72775
# final_test_sample_bootstrap_ci95_high,79.36999999999999
stage,layer,classifier_seed,accuracy,classifier_seed_mean,classifier_seed_std,classifier_seed_min,classifier_seed_max,sample_bootstrap_ci95_low,sample_bootstrap_ci95_high
validation,0,0,42.2000,,,,,,
validation,0,1,42.1400,,,,,,
validation,0,2,42.3400,,,,,,
validation,0,3,42.2600,,,,,,
validation,0,4,42.0800,,,,,,
validation_summary,0,,,42.2040,0.1014,42.0800,42.3400,,
validation,1,0,50.1000,,,,,,
validation,1,1,50.1400,,,,,,
validation,1,2,49.9600,,,,,,
validation,1,3,50.2200,,,,,,
validation,1,4,50.1400,,,,,,
validation_summary,1,,,50.1120,0.0955,49.9600,50.2200,,
validation,2,0,53.9800,,,,,,
validation,2,1,53.9000,,,,,,
validation,2,2,53.8400,,,,,,
validation,2,3,53.9000,,,,,,
validation,2,4,53.8800,,,,,,
validation_summary,2,,,53.9000,0.0510,53.8400,53.9800,,
validation,3,0,55.5800,,,,,,
validation,3,1,55.5800,,,,,,
validation,3,2,55.5600,,,,,,
validation,3,3,55.6200,,,,,,
validation,3,4,55.5800,,,,,,
validation_summary,3,,,55.5840,0.0219,55.5600,55.6200,,
validation,4,0,56.3000,,,,,,
validation,4,1,56.1800,,,,,,
validation,4,2,56.2200,,,,,,
validation,4,3,56.2400,,,,,,
validation,4,4,56.3200,,,,,,
validation_summary,4,,,56.2520,0.0576,56.1800,56.3200,,
validation,5,0,57.9800,,,,,,
validation,5,1,58.0800,,,,,,
validation,5,2,57.9000,,,,,,
validation,5,3,57.9400,,,,,,
validation,5,4,58.0000,,,,,,
validation_summary,5,,,57.9800,0.0678,57.9000,58.0800,,
validation,6,0,59.2200,,,,,,
validation,6,1,59.2400,,,,,,
validation,6,2,59.3200,,,,,,
validation,6,3,59.2600,,,,,,
validation,6,4,59.2800,,,,,,
validation_summary,6,,,59.2640,0.0385,59.2200,59.3200,,
validation,7,0,60.3800,,,,,,
validation,7,1,60.2200,,,,,,
validation,7,2,60.2800,,,,,,
validation,7,3,60.3400,,,,,,
validation,7,4,60.3200,,,,,,
