# schema,mdlic-linear-probe-v3
# config,configs/ccigpt_imagenet64_v1.yaml
# config_sha256,9a079b00cb4f68a9aaff315c6da7d89e15ff234615f3568f38a6aee357e53109
# checkpoint,experiments/ccigpt_imagenet64_v1/checkpoints/best.pth
# checkpoint_sha256,3d5a403825f52c3cd286c0ed8424b2f6a2f5e53cc3e61025c2b7d625cfb22cee
# git_commit,74f945b1473796746d88745552136037ab7c3b92
# git_dirty,True
# model_type,ccigpt
# probe_dataset,cifar10
# train_dataset_fingerprint,7534c22a196e65fa297ab1d5f54e28fc410914271e2c6776ae44d55444a45009
# test_dataset_fingerprint,7085337f6ae0f5bd7b44c316ccf0b207c27fda7a6eead2bb83f987e73876aed1
# preprocessing_json,{"augmentation":null,"schema":"mdlic-linear-probe-input-v1","steps":[{"antialias":true,"interpolation":"bilinear","op":"Resize","size":[64,64]},{"conversion":"uint8 HWC to float32 CHW in [0,1]","op":"ToTensor"}]}
# num_classes,10
# N_layers,32
# d_model,448
# model_image_size,64
# coarse_ctx,with
# epochs,100
# lr,0.1
# batch_size,64
# selection_split,stratified validation subset of training data
# val_fraction,0.1
# split_seed,0
# selection_train_indices_sha256,7b0f454cd3ba39ec8bfa25d8620d5b54cd08986e9095b7ae01239f3e570797e8
# selection_validation_indices_sha256,a3bb8ba45ead7400ee3b9b850632810e991a22762e5d8c35928f7fea8b61f17d
# classifier_seeds,0,1,2,3,4
# selected_layer,18
# classifier_seed_variation,descriptive sample std; not a CI
# final_test_classifier_seed_mean,72.6560
# final_test_classifier_seed_std,0.0802
# sample_bootstrap_estimand,accuracy averaged over the fixed classifier seeds
# sample_bootstrap_samples,2000
# sample_bootstrap_seed,0
# final_test_sample_bootstrap_ci95_low,71.8059
# final_test_sample_bootstrap_ci95_high,73.48
stage,layer,classifier_seed,accuracy,classifier_seed_mean,classifier_seed_std,classifier_seed_min,classifier_seed_max,sample_bootstrap_ci95_low,sample_bootstrap_ci95_high
validation,0,0,41.9000,,,,,,
validation,0,1,41.8000,,,,,,
validation,0,2,41.9400,,,,,,
validation,0,3,41.7800,,,,,,
validation,0,4,42.1000,,,,,,
validation_summary,0,,,41.9040,0.1284,41.7800,42.1000,,
validation,1,0,50.1200,,,,,,
validation,1,1,49.8000,,,,,,
validation,1,2,50.0800,,,,,,
validation,1,3,50.0400,,,,,,
validation,1,4,50.0400,,,,,,
validation_summary,1,,,50.0160,0.1252,49.8000,50.1200,,
validation,2,0,53.7800,,,,,,
validation,2,1,53.8000,,,,,,
validation,2,2,53.9600,,,,,,
validation,2,3,53.8200,,,,,,
validation,2,4,53.9600,,,,,,
validation_summary,2,,,53.8640,0.0888,53.7800,53.9600,,
validation,3,0,58.2200,,,,,,
validation,3,1,58.3400,,,,,,
validation,3,2,58.3200,,,,,,
validation,3,3,58.3400,,,,,,
validation,3,4,58.2200,,,,,,
validation_summary,3,,,58.2880,0.0626,58.2200,58.3400,,
validation,4,0,60.1000,,,,,,
validation,4,1,60.0000,,,,,,
validation,4,2,60.1600,,,,,,
validation,4,3,60.1600,,,,,,
validation,4,4,60.0800,,,,,,
validation_summary,4,,,60.1000,0.0663,60.0000,60.1600,,
validation,5,0,61.1400,,,,,,
validation,5,1,61.0600,,,,,,
validation,5,2,61.0200,,,,,,
validation,5,3,60.9400,,,,,,
validation,5,4,60.8000,,,,,,
validation_summary,5,,,60.9920,0.1293,60.8000,61.1400,,
validation,6,0,63.6800,,,,,,
validation,6,1,63.5000,,,,,,
validation,6,2,63.4600,,,,,,
validation,6,3,63.4000,,,,,,
validation,6,4,63.5600,,,,,,
validation_summary,6,,,63.5200,0.1068,63.4000,63.6800,,
validation,7,0,65.0400,,,,,,
validation,7,1,65.2200,,,,,,
validation,7,2,65.0000,,,,,,
validation,7,3,65.1600,,,,,,
validation,7,4,65.1800,,,,,,
validation_summary,7,,,65.1200,0.0949,65.0000,65.2200,,
validation,8,0,66.3600,,,,,,
validation,8,1,66.0200,,,,,,
validation,8,2,66.2800,,,,,,
validation,8,3,66.2000,,,,,,
validation,8,4,66.2200,,,,,,
validation_summary,8,,,66.2160,0.1260,66.0200,66.3600,,
validation,9,0,67.2800,,,,,,
validation,9,1,67.0800,,,,,,
validation,9,2,67.1800,,,,,,
validation,9,3,67.2000,,,,,,
validation,9,4,67.2200,,,,,,
validation_summary,9,,,67.1920,0.0729,67.0800,67.2800,,
validation,10,0,68.0400,,,,,,
validation,10,1,68.1400,,,,,,
validation,10,2,68.1600,,,,,,
validation,10,3,68.1800,,,,,,
validation,10,4,68.0600,,,,,,
validation_summary,10,,,68.1160,0.0623,68.0400,68.1800,,
validation,11,0,69.3800,,,,,,
validation,11,1,69.3000,,,,,,
validation,11,2,69.4800,,,,,,
validation,11,3,69.3400,,,,,,
validation,11,4,69.3200,,,,,,
validation_summary,11,,,69.3640,0.0713,69.3000,69.4800,,
validation,12,0,70.6800,,,,,,
validation,12,1,70.7400,,,,,,
validation,12,2,70.5800,,,,,,
validation,12,3,70.6800,,,,,,
validation,12,4,70.7200,,,,,,
validation_summary,12,,,70.6800,0.0616,70.5800,70.7400,,
validation,13,0,72.0400,,,,,,
validation,13,1,71.9400,,,,,,
validation,13,2,71.8800,,,,,,
validation,13,3,71.9400,,,,,,
validation,13,4,71.8400,,,,,,
validation_summary,13,,,71.9280,0.0756,71.8400,72.0400,,
validation,14,0,72.4600,,,,,,
validation,14,1,72.7200,,,,,,
validation,14,2,72.5600,,,,,,
validation,14,3,72.5600,,,,,,
validation,14,4,72.5400,,,,,,
validation_summary,14,,,72.5680,0.0944,72.4600,72.7200,,
validation,15,0,73.1200,,,,,,
validation,15,1,73.0800,,,,,,
validation,15,2,73.2800,,,,,,
validation,15,3,73.1400,,,,,,
validation,15,4,73.1800,,,,,,
validation_summary,15,,,73.1600,0.0762,73.0800,73.2800,,
validation,16,0,73.2400,,,,,,
validation,16,1,73.3200,,,,,,
validation,16,2,73.2800,,,,,,
validation,16,3,73.1800,,,,,,
validation,16,4,73.3600,,,,,,
validation_summary,16,,,73.2760,0.0699,73.1800,73.3600,,
validation,17,0,73.1200,,,,,,
validation,17,1,73.1000,,,,,,
validation,17,2,73.1600,,,,,,
validation,17,3,73.1000,,,,,,
validation,17,4,73.3200,,,,,,
validation_summary,17,,,73.1600,0.0927,73.1000,73.3200,,
validation,18,0,73.4000,,,,,,
validation,18,1,73.3800,,,,,,
validation,18,2,73.3000,,,,,,
validation,18,3,73.3000,,,,,,
validation,18,4,73.3000,,,,,,
validation_summary,18,,,73.3360,0.0498,73.3000,73.4000,,
validation,19,0,71.8400,,,,,,
validation,19,1,71.9000,,,,,,
validation,19,2,71.8800,,,,,,
validation,19,3,71.7600,,,,,,
validation,19,4,71.7800,,,,,,
validation_summary,19,,,71.8320,0.0610,71.7600,71.9000,,
validation,20,0,71.6800,,,,,,
validation,20,1,71.6000,,,,,,
validation,20,2,71.8600,,,,,,
validation,20,3,71.8400,,,,,,
validation,20,4,71.6200,,,,,,
validation_summary,20,,,71.7200,0.1225,71.6000,71.8600,,
validation,21,0,71.1400,,,,,,
validation,21,1,71.3800,,,,,,
validation,21,2,71.3200,,,,,,
validation,21,3,71.2600,,,,,,
validation,21,4,71.4000,,,,,,
validation_summary,21,,,71.3000,0.1049,71.1400,71.4000,,
validation,22,0,71.2000,,,,,,
validation,22,1,71.2000,,,,,,
validation,22,2,71.0600,,,,,,
validation,22,3,71.1800,,,,,,
validation,22,4,71.1800,,,,,,
validation_summary,22,,,71.1640,0.0590,71.0600,71.2000,,
validation,23,0,70.3800,,,,,,
validation,23,1,70.5000,,,,,,
validation,23,2,70.5000,,,,,,
validation,23,3,70.2400,,,,,,
validation,23,4,70.2800,,,,,,
validation_summary,23,,,70.3800,0.1208,70.2400,70.5000,,
validation,24,0,69.7000,,,,,,
validation,24,1,69.5800,,,,,,
validation,24,2,69.7200,,,,,,
validation,24,3,69.7600,,,,,,
validation,24,4,69.6600,,,,,,
validation_summary,24,,,69.6840,0.0684,69.5800,69.7600,,
validation,25,0,68.9600,,,,,,
validation,25,1,69.0600,,,,,,
validation,25,2,68.8800,,,,,,
validation,25,3,68.9600,,,,,,
validation,25,4,68.9000,,,,,,
validation_summary,25,,,68.9520,0.0701,68.8800,69.0600,,
validation,26,0,68.5000,,,,,,
validation,26,1,68.3600,,,,,,
validation,26,2,68.5400,,,,,,
validation,26,3,68.5800,,,,,,
validation,26,4,68.4000,,,,,,
validation_summary,26,,,68.4760,0.0932,68.3600,68.5800,,
validation,27,0,67.7000,,,,,,
validation,27,1,67.9200,,,,,,
validation,27,2,67.7600,,,,,,
validation,27,3,67.7200,,,,,,
validation,27,4,67.8600,,,,,,
validation_summary,27,,,67.7920,0.0944,67.7000,67.9200,,
validation,28,0,67.8000,,,,,,
validation,28,1,67.8200,,,,,,
validation,28,2,67.7600,,,,,,
validation,28,3,67.6600,,,,,,
validation,28,4,67.9400,,,,,,
validation_summary,28,,,67.7960,0.1014,67.6600,67.9400,,
validation,29,0,67.2000,,,,,,
validation,29,1,67.2400,,,,,,
validation,29,2,67.1800,,,,,,
validation,29,3,67.1400,,,,,,
validation,29,4,66.9600,,,,,,
validation_summary,29,,,67.1440,0.1090,66.9600,67.2400,,
validation,30,0,66.0000,,,,,,
validation,30,1,66.1800,,,,,,
validation,30,2,66.0800,,,,,,
validation,30,3,66.2600,,,,,,
validation,30,4,66.1800,,,,,,
validation_summary,30,,,66.1400,0.1010,66.0000,66.2600,,
validation,31,0,66.3400,,,,,,
validation,31,1,66.1000,,,,,,
validation,31,2,66.1000,,,,,,
validation,31,3,65.9800,,,,,,
validation,31,4,66.3200,,,,,,
validation_summary,31,,,66.1680,0.1559,65.9800,66.3400,,
final_test,18,0,72.7900,,,,,,
final_test,18,1,72.6300,,,,,,
final_test,18,2,72.6600,,,,,,
final_test,18,3,72.6200,,,,,,
final_test,18,4,72.5800,,,,,,
final_test_summary,18,,,72.6560,0.0802,72.5800,72.7900,71.8059,73.48
